retained_card29_sales,retained_card29_revenue,residual_transfer_rate,replacement_revenue,affected_card29_baseline_revenue,revenue_change
19,836.0,0.2,2223.05100226659,1936.0,287.0510022665899
19,836.0,0.3,2262.7572480958147,1936.0,326.7572480958147
19,836.0,0.4,2302.4634939250395,1936.0,366.46349392503953
19,836.0,0.5,2342.169739754265,1936.0,406.1697397542648
19,836.0,0.6,2381.8759855834896,1936.0,445.87598558348964
19,836.0,0.7,2421.5822314127145,1936.0,485.58223141271446
19,836.0,0.8,2461.2884772419397,1936.0,525.2884772419397
19,836.0,0.9,2500.9947230711646,1936.0,564.9947230711646
19,836.0,1.0,2540.70096890039,1936.0,604.7009689003899
20,880.0,0.0,2143.6385106081398,1892.0,251.63851060813977
20,880.0,0.1,2183.3447564373646,1892.0,291.3447564373646
20,880.0,0.2,2223.05100226659,1892.0,331.0510022665899
20,880.0,0.3,2262.7572480958147,1892.0,370.7572480958147
20,880.0,0.4,2302.4634939250395,1892.0,410.46349392503953
20,880.0,0.5,2342.169739754265,1892.0,450.1697397542648
20,880.0,0.6,2381.8759855834896,1892.0,489.87598558348964
20,880.0,0.7,2421.5822314127145,1892.0,529.5822314127145
20,880.0,0.8,2461.2884772419397,1892.0,569.2884772419397
20,880.0,0.9,2500.9947230711646,1892.0,608.9947230711646
20,880.0,1.0,2540.70096890039,1892.0,648.7009689003899
21,924.0,0.0,2143.6385106081398,1848.0,295.63851060813977
21,924.0,0.1,2183.3447564373646,1848.0,335.3447564373646
21,924.0,0.2,2223.05100226659,1848.0,375.0510022665899
21,924.0,0.3,2262.7572480958147,1848.0,414.7572480958147
21,924.0,0.4,2302.4634939250395,1848.0,454.46349392503953
21,924.0,0.5,2342.169739754265,1848.0,494.1697397542648
21,924.0,0.6,2381.8759855834896,1848.0,533.8759855834896
21,924.0,0.7,2421.5822314127145,1848.0,573.5822314127145
21,924.0,0.8,2461.2884772419397,1848.0,613.2884772419397
21,924.0,0.9,2500.9947230711646,1848.0,652.9947230711646
21,924.0,1.0,2540.70096890039,1848.0,692.7009689003899
22,968.0,0.0,2143.6385106081398,1804.0,339.63851060813977
22,968.0,0.1,2183.3447564373646,1804.0,379.3447564373646
22,968.0,0.2,2223.05100226659,1804.0,419.0510022665899
22,968.0,0.3,2262.7572480958147,1804.0,458.7572480958147
22,968.0,0.4,2302.4634939250395,1804.0,498.46349392503953
22,968.0,0.5,2342.169739754265,1804.0,538.1697397542648
22,968.0,0.6,2381.8759855834896,1804.0,577.8759855834896
22,968.0,0.7,2421.5822314127145,1804.0,617.5822314127145
22,968.0,0.8,2461.2884772419397,1804.0,657.2884772419397
22,968.0,0.9,2500.9947230711646,1804.0,696.9947230711646
22,968.0,1.0,2540.70096890039,1804.0,736.7009689003899
23,1012.0,0.0,2143.6385106081398,1760.0,383.63851060813977
23,1012.0,0.1,2183.3447564373646,1760.0,423.3447564373646
23,1012.0,0.2,2223.05100226659,1760.0,463.0510022665899
23,1012.0,0.3,2262.7572480958147,1760.0,502.7572480958147
23,1012.0,0.4,2302.4634939250395,1760.0,542.4634939250395
23,1012.0,0.5,2342.169739754265,1760.0,582.1697397542648
23,1012.0,0.6,2381.8759855834896,1760.0,621.8759855834896
